Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Elton John-Hold Me Closer,94,,14,,"3,133,797","138,369,603"
BLACKPINK-Lovesick Girls,101,7,3,(x1),"4,880,132","138,354,482"
"Taylor Swift-""Slut!"" (Taylor's Version) (From The Vault)",69,5,2,(x2),"11,307,621","138,046,106"
Beyoncé-7/11,369,,16,,"920,866","138,037,578"
Gotye-Somebody That I Used To Know,176,,122,,"1,326,221","137,989,003"
JAY-Z-Ni**as In Paris,554,,120,,"394,271","137,819,788"
Marshmello-Numb,139,,93,,"1,323,276","137,817,751"
Lil Baby-Woah,143,,49,,"1,680,145","137,791,538"
Bebe Rexha-I Got You,198,,53,,"1,079,526","137,784,330"
Quevedo-PLAYA DEL INGLÉS,110,,65,,"1,910,569","137,759,479"
Tones And I-Never Seen the Rain,156,,70,,"1,165,766","137,751,822"
Travis Scott-TELEKINESIS,80,,20,,"5,032,917","137,540,825"
Halsey-Bad At Love,180,,57,,"1,114,354","137,507,943"
Joji-Die For You,88,,16,,"3,569,865","137,235,268"
Shakira-Me Enamoré,187,,64,,"1,010,420","137,215,491"
Macklemore & Ryan Lewis-Downtown,210,,14,,"1,350,778","136,920,087"
Alex Rose-Jangueo,191,,113,,"844,400","136,831,794"
Little Mix-Shout Out to My Ex,141,,17,,"1,897,977","136,749,681"
Sage The Gemini-Now and Later,129,,29,,"1,594,561","136,664,871"
Sia-Cheap Thrills,260,,57,,"774,399","136,456,066"
Oscar Maydon-Amigos? No.,96,,88,,"1,646,531","136,347,304"
Taylor Swift-The Tortured Poets Department,42,4,2,(x1),"19,089,937","136,276,197"
Lil Uzi Vert-The Way Life Goes,160,,39,,"1,553,494","136,265,353"
Logic-Everyday,126,,14,,"2,566,874","136,194,152"
Lil Uzi Vert-Watch This - ARIZONATEARS Pluggnb Remix,92,,42,,"2,058,940","136,050,371"
BANNERS-Someone To You,180,,114,,"874,221","135,716,027"
Polimá Westcoast-ULTRA SOLO REMIX,107,,32,,"2,675,424","135,704,118"
Anuv Jain-Jo Tum Mere Ho,83,,55,,"1,944,494","135,557,433"
Ozuna-Solita,184,,68,,"1,037,631","135,382,612"
Lady Gaga-The Cure,136,,30,,"1,906,701","135,218,209"
Los Dareyes De La Sierra-Vita Fer,87,,49,,"2,101,426","135,139,307"
XXXTENTACION-BAD!,94,6,4,,"3,719,393","135,051,406"
MC Fioti-Bum Bum Tam Tam,148,,58,,"1,192,814","134,787,893"
Billie Eilish-bad guy,90,7,6,,"4,672,398","134,561,463"
Robin Schulz-Headlights,230,,17,,"1,167,531","134,505,853"
"Bruce Springsteen-Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",88,,25,,"6,815,036","134,478,771"
Mora-512,125,,55,,"1,552,344","134,452,371"
Alan Walker-Alone,148,,31,,"1,586,785","134,374,095"
Michael Bublé-Santa Claus Is Coming to Town,147,,26,,"3,542,838","134,296,934"
Doechii-What It Is (Solo Version),102,,81,,"1,600,788","133,931,219"
Piso 21-Te Amo,177,,74,,"991,643","133,900,665"
Taylor Swift-Love Story (Taylor’s Version),108,3,2,(x1),"6,317,462","133,872,217"
Ed Sheeran-Dive,149,3,9,,"3,373,811","133,812,816"
Wisin-Fiel - Remix,102,,26,,"2,248,698","133,776,739"
Ariana Grande-Don’t Call Me Angel (Charlie’s Angels),77,12,2,(x1),"5,878,568","133,563,043"
Dalex-Cuaderno,147,,61,,"1,245,140","133,360,949"
Major Lazer-Que Calor,159,,59,,"1,380,948","133,050,961"
Taylor Swift-...Ready For It?,132,7,3,(x1),"3,581,725","132,983,960"
Olly Alexander (Years & Years)-King,228,,16,,"1,192,374","132,902,462"
Tion Wayne-Body (Remix),86,,14,,"2,849,161","132,838,325"
Selena Gomez-Look At Her Now,97,6,8,,"3,766,086","132,605,650"
Jessica Darrow-Surface Pressure,96,,23,,"2,029,479","132,410,658"
Drake-What’s Next,86,8,1,(x1),"6,856,433","132,259,039"
Olivia Rodrigo-enough for you,83,2,10,,"4,847,062","132,256,066"
J Balvin-Mi Gente,103,,13,,"2,766,470","131,793,231"
Nicky Jam-X - Remix,130,,33,,"1,723,850","131,775,006"
LISA-Born Again,59,3,6,,"6,263,886","131,698,352"
Trippie Redd-Miss The Rage,123,,14,,"3,210,837","131,610,451"
Gwen Stefani-You Make It Feel Like Christmas,84,,38,,"5,039,965","131,561,508"
Fuerza Regida-TU SANCHO,52,2,9,,"3,074,834","130,970,210"
Xamã-Malvadão 3,104,,26,,"1,946,791","130,957,639"
Billie Eilish-Happier Than Ever - Edit,140,,68,,"1,202,880","130,777,509"
Niall Horan-This Town,160,,21,,"1,940,529","130,523,338"
Benson Boone-Mystical Magical,70,,23,,"2,621,906","130,434,055"
P!nk-Cover Me In Sunshine,130,,56,,"1,332,618","130,333,534"
Queen-Somebody To Love - Remastered 2011,151,,45,,"1,396,824","130,046,726"
The Rare Occasions-Notion,131,,61,,"1,313,666","130,029,782"
Adele-Water Under the Bridge,176,,42,,"1,270,384","129,802,127"
Jennifer Lopez-Ain't Your Mama,215,,52,,"882,270","129,735,187"
Post Malone-Paranoid,90,8,2,(x1),"6,268,762","129,346,771"
Sebastian Yatra-Por Perro,159,,72,,"1,052,551","129,220,900"
Petit Biscuit-Sunset Lover,179,,52,,"1,096,097","129,192,039"
Becky G-Chanel,80,,44,,"2,060,657","129,168,428"
Nevada-The Mack,143,,27,,"1,512,943","129,065,389"
"benny blanco-I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",95,,16,,"2,846,195","129,020,612"
Taylor Swift-All Of The Girls You Loved Before,73,1,4,,"5,453,121","129,019,627"
Big Shaq-Man's Not Hot,131,,28,,"1,644,960","128,847,735"
Niall Horan-Too Much To Ask,131,,29,,"1,697,802","128,739,720"
Sheppard-Geronimo,281,,16,,"839,354","128,674,618"
Bryson Tiller-Exchange,312,,62,,"621,931","128,254,640"
Tove Lo-Talking Body,250,,26,,"1,014,405","127,926,756"
Myke Towers-Si Se Da,152,,86,,"1,042,532","127,896,512"
Tiago PZK-Salimo de Noche,124,,60,,"1,482,701","127,886,690"
Bad Bunny-PERFuMITO NUEVO,50,,11,,"4,723,174","127,784,200"
Bernadya-Satu Bulan,73,,37,,"2,274,910","127,711,598"
Troye Sivan-Rush,87,,23,,"2,630,495","127,617,168"
Lil Uzi Vert-Sanguine Paradise,128,,35,,"1,767,132","127,569,510"
G-Eazy-Good Life,120,,24,,"1,866,463","127,559,297"
Fuerza Regida-Marlboro Rojo,56,,13,,"2,989,835","127,464,795"
Lady Gaga-Stupid Love,99,1,6,,"4,239,676","127,391,763"
The Weeknd-Die For You - Remix,18,18,1,(x1),"8,931,107","127,214,988"
Isabel LaRosa-favorite,82,,58,,"2,049,307","127,154,315"
Labrinth-Still Don't Know My Name,132,,51,,"1,434,763","127,131,701"
Fall Out Boy-Centuries,361,,17,,"787,189","126,999,314"
Pop Smoke-Got It On Me,133,,36,,"1,757,836","126,704,019"
Alvaro Soler-La Cintura,127,,39,,"1,624,955","126,588,087"
Calvin Harris-Rollin,120,,32,,"1,758,226","126,570,148"
Clave Especial-COMO CAPO,83,,48,,"2,142,732","126,509,349"
Daddy Yankee-Vuelve,167,,66,,"1,002,593","126,341,117"
Ofenbach-Wasted Love,141,,84,,"1,144,355","126,339,598"
Milly-No Te Enamores - Remix,129,,55,,"1,325,544","126,073,777"
Raim Laode-Komang,97,,44,,"1,872,955","126,050,530"
Post Malone-Enemies,90,5,6,,"5,397,210","126,029,133"
AronChupa-I'm an Albatraoz,292,,18,,"873,334","125,857,859"
Maluma-Hawái - Remix,105,,13,,"2,901,971","125,793,983"
Justin Quiles-DJ No Pare,156,,75,,"1,034,389","125,691,988"
Ali Gatie-What If I Told You That I Love You,105,,32,,"1,994,837","125,554,404"
"Bizarrap-Villano Antillano: Bzrp Music Sessions, Vol. 51",100,,39,,"1,739,860","125,428,305"
Gabito Ballesteros-LOU LOU,79,,38,,"2,152,978","125,357,869"
KATSEYE-Touch,82,,58,,"2,009,064","125,344,710"
Curtis Waters-Stunnin',125,,66,,"1,281,950","125,294,443"
Imagine Dragons-Follow You,136,,46,,"1,628,081","125,109,622"
Rihanna-Diamonds,217,,24,,"2,541,230","125,099,990"
Lana Del Rey-Radio,100,,108,,"1,399,414","125,038,469"
Wallows-Are You Bored Yet?,158,,96,,"973,625","124,706,803"
YOASOBI-アイドル,96,,78,,"1,496,463","124,358,439"
Drake-Pop Style,188,,22,,"1,794,166","124,176,001"
Post Malone-Hollywood's Bleeding,88,7,4,,"5,585,004","124,144,530"
Taylor Swift-Vigilante Shit,43,7,7,,"11,875,754","123,424,146"
Shakira-Soltera,71,,36,,"2,499,185","123,348,743"
Henrique & Juliano-Arranhão - Ao Vivo,126,,41,,"1,556,012","123,312,579"
Khalid-Talk,56,,16,,"2,703,793","123,286,296"
Ruth B.-Lost Boy,302,,76,,"541,545","123,169,876"
CNCO-Reggaetón Lento (Remix),146,,53,,"1,188,111","123,113,182"
Taylor Swift-Florida!!!,39,2,7,,"14,459,975","122,917,275"
Dhruv-double take,122,,61,,"1,343,888","122,477,314"
TWICE-The Feels,114,,52,,"1,433,481","122,448,494"
Peso Pluma-LAGUNAS,98,,111,,"1,433,087","122,393,751"
Ozuna-Unica,146,,55,,"1,249,784","122,345,854"
Dimitri Vegas & Like Mike-Thank You (Not So Bad),92,,116,,"1,598,687","122,164,941"
The Weeknd-In The Night,187,,27,,"1,125,312","122,110,484"
Meghan Trainor-Lips Are Movin,222,9,8,,"1,118,749","121,738,848"
Billie Eilish-TV,108,,16,,"2,741,714","121,626,899"
Sam Smith-Diamonds,120,,36,,"1,824,111","121,541,462"
Regard-Secrets,117,,57,,"1,342,435","121,478,059"
"Daya-Sit Still, Look Pretty",255,,66,,"690,894","121,255,457"
Shakira-Me Gusta,109,,37,,"1,794,822","121,243,906"
Future-Selfish,125,,41,,"1,483,269","121,087,976"
Pharrell Williams-Happy,439,,34,,"746,062","120,977,200"
Vishal Mishra-Pehle Bhi Main,74,,41,,"2,327,893","120,789,280"
Alejo-Pantysito,114,,50,,"1,456,079","120,571,282"
Tommy Richman-DEVIL IS A LIE,67,,38,,"2,420,912","120,458,286"
Jason Derulo-If It Ain't Love,142,,37,,"1,350,060","120,297,577"
bbno$-edamame,124,,74,,"1,215,455","120,181,783"
Young Thug-pick up the phone,250,,85,,"653,458","119,982,775"
Nicky Jam-Polvo,128,,78,,"1,163,837","119,885,444"
The Weeknd-Often,414,,35,,"784,102","119,759,343"
Trueno-Mamichula,95,,33,,"1,865,480","119,506,083"
Wisin-Vacaciones,214,,74,,"811,800","119,075,770"
Anuel AA-Quiere Beber,117,,39,,"1,521,339","118,961,009"
Paulo Londra-Plan A,63,16,2,(x2),"5,832,109","118,948,217"
Billie Eilish-my future,92,7,1,(x1),"5,183,389","118,785,564"
Lil Uzi Vert-Futsal Shuffle 2020,86,1,8,,"3,727,152","118,691,159"
One Direction-Steal My Girl,189,16,8,,"2,186,389","118,683,401"
Jax Jones-Breathe,143,,44,,"1,404,174","118,182,235"
Kesha-Praying,141,,37,,"1,480,330","118,042,307"
Israel & Rodolffo-Batom de Cereja - Ao Vivo,107,,28,,"1,957,012","117,990,636"
Bruno Mars-Versace on the Floor,208,,67,,"803,087","117,867,654"
KATSEYE-Gnarly,63,,35,,"2,301,693","117,855,239"
Miguel-Sky Walker,149,,63,,"1,071,682","117,752,558"
Taylor Swift-Delicate,122,,24,,"2,012,477","117,734,222"
Stormzy-Own It,105,,24,,"1,967,027","117,686,872"
Esau Ortiz-Triple Lavada,74,,57,,"1,891,595","117,109,211"
Sebastian Yatra-SUTRA,164,,86,,"975,683","116,962,854"
Logic-Homicide,83,12,2,(x1),"5,178,465","116,855,764"
Sia-Santa's Coming for Us,89,,37,,"4,482,695","116,684,407"
BABYMONSTER-SHEESH,71,,50,,"2,089,400","116,578,911"
João Gomes-Meu Pedaço de Pecado,106,,33,,"1,837,412","116,559,598"
Fuerza Regida-ROSONES,80,,74,,"1,822,989","116,544,213"
Taylor Swift-Question...?,42,4,8,,"11,563,475","116,467,195"
Eugenio Esquivel-Alucin,76,,50,,"2,003,113","116,203,155"
Jack Harlow-Tyler Herro,118,,57,,"1,523,899","116,108,933"
6ix9ine-KIKA,99,3,3,(x1),"3,559,754","116,105,012"
"Kelly Clarkson-Santa, Can’t You Hear Me",61,,32,,"5,753,060","115,572,763"
JNR CHOI-TO THE MOON,105,,52,,"1,550,911","115,490,013"
Apache 207-Roller,128,,55,,"1,496,746","115,487,068"
Normani-Motivation,98,,39,,"1,585,181","115,416,782"
KAROL G-S91,77,,27,,"2,739,644","115,402,739"
Nicki Minaj-Bed,85,,21,,"2,192,363","115,384,486"
Gustavo Mioto-Eu Gosto Assim - Ao Vivo,99,,53,,"1,797,165","115,358,602"
Kane Brown-Be Like That,132,,81,,"1,184,073","115,348,675"
Kanye West-All Mine,76,11,1,(x1),"4,536,998","115,155,282"
Taylor Swift-exile,78,11,3,(x1),"6,977,835","115,021,963"
Avicii-The Days,214,38,4,,"1,697,429","114,962,800"
Junior H-ROCKSTAR,84,,76,,"1,863,290","114,938,722"
Big Sean-I Don't Fuck With You,339,,30,,"650,289","114,861,591"
i-dle-Queencard,88,,91,,"1,555,547","114,709,412"
"Pritam-Kesariya (From ""Brahmastra"")",81,,24,,"2,035,694","114,628,288"
Julión Álvarez y su Norteño Banda-Rey Sin Reina,75,,37,,"2,401,402","114,379,985"
LE SSERAFIM-Smart,76,,68,,"1,775,855","114,274,257"
Queen-We Will Rock You - Remastered,151,,63,,"1,134,762","114,129,182"
Taylor Swift-I Can See You (Taylor’s Version) (From The Vault),60,6,4,,"6,474,007","114,057,528"
Liam Payne-Familiar,125,,51,,"1,648,136","113,943,791"
Don Toliver-NEW DROP,77,,90,,"1,830,417","113,715,301"
Olivia Rodrigo-get him back!,51,8,6,,"5,912,269","113,707,518"
"Tyler, The Creator-St. Chroma",39,7,3,(x2),"10,072,320","113,622,573"
Lil Peep-Star Shopping,156,,134,,"887,416","113,564,248"
Post Malone-Motley Crew,76,,16,,"3,298,779","113,425,265"
FloyyMenor-APAGA EL CEL,71,,60,,"2,042,381","113,217,864"
Nicky Jam-Si Tú La Ves,207,,110,,"668,542","113,207,080"
Tate McRae-It's ok I'm ok,67,,16,,"3,626,510","113,081,536"
Tinie Tempah-Girls Like,192,,52,,"896,245","112,902,229"
S3BZS-MONTAGEM - PR FUNK,85,,72,,"1,599,192","112,730,864"
Calum Scott-Dancing On My Own,219,,63,,"698,808","112,687,780"
Brytiago-Asesina,123,,66,,"1,108,665","112,534,301"
Morgan Wallen-Just In Case,80,,25,,"2,675,197","112,495,407"
Yung Gravy-Betty (Get Money),98,,64,,"1,432,326","112,438,852"
Ant Saunders-Yellow Hearts,101,,43,,"1,416,233","112,303,338"
OMI-Hula Hoop,195,,20,,"1,084,114","112,285,671"
James Arthur-Car's Outside,97,,127,,"1,269,709","112,276,342"
"Kygo-Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",99,,25,,"1,869,648","111,828,515"
Ryan Castro-QUEMA,88,,101,,"1,561,903","111,695,933"
YNW Melly-Mixed Personalities,118,,53,,"1,377,154","111,679,619"
Chris Brown-Ayo,277,,21,,"962,174","111,316,945"
Kendrick Lamar-N95,58,7,1,(x1),"9,537,225","111,314,899"
OneRepublic-Rich Love,124,,47,,"1,438,835","111,248,097"
Lasso-Ojos Marrones,100,,67,,"1,376,912","111,167,852"
Rauw Alejandro-BABY HELLO,76,,48,,"2,431,739","111,111,215"
P!nk-Walk Me Home,116,,49,,"1,320,494","111,078,701"
Lil Uzi Vert-P2,104,,16,,"2,990,026","110,832,424"
Jason Derulo-Acapulco,121,,82,,"1,336,864","110,806,218"
Gunna-DOLLAZ ON MY HEAD,141,,53,,"1,480,652","110,672,794"
Nio Garcia-La Jeepeta - Remix,69,,14,,"2,662,622","110,664,272"
Doja Cat-Like That,132,,70,,"1,087,101","110,604,934"
Thalia-No Me Acuerdo,133,,62,,"1,152,812","110,598,548"
Taylor Swift-The Smallest Man Who Ever Lived,44,,14,,"10,815,874","110,524,784"
One Direction-History,239,,25,,"1,286,335","110,468,918"
Snakehips-Don't Leave,119,,38,,"1,452,252","110,371,365"
Raim Laode-Lesung Pipi,78,,72,,"1,748,222","110,310,813"
Tory Lanez-LUV,149,,38,,"1,304,757","110,296,322"
Artemas-if u think i'm pretty,71,,42,,"2,189,170","110,242,905"
"Metro Boomin-Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",54,,13,,"3,068,037","110,211,953"
Taylor Swift-You’re Losing Me (From The Vault),55,3,1,(x2),"6,871,881","110,157,894"
Jax Jones-Where Did You Go?,113,,89,,"1,261,568","110,157,150"
Hailee Steinfeld-Capital Letters,101,,31,,"1,724,610","109,934,269"
Chappell Roan-Casual,80,,109,,"1,555,925","109,634,861"
Drake-Back To Back,282,,52,,"566,966","109,537,339"
Natanael Cano-Amapola,77,,79,,"1,756,674","109,502,690"
Clave Especial-TU TU TU,69,,40,,"2,294,894","109,438,925"
Becky G-Shower,220,7,9,,"991,335","109,416,560"
Enrique Iglesias-Bailando - Spanish Version,337,,37,,"535,074","109,405,316"
La Pantera-Cayó La Noche,102,,51,,"1,415,975","109,400,475"
Evanescence-Bring Me To Life,88,,123,,"1,690,185","109,380,101"
Harry Nach-Tak Tiki Tak,119,,69,,"1,193,969","109,364,878"
Harry Styles-Daylight,63,4,7,,"7,150,350","109,292,793"
ROSÉ-number one girl,64,,31,,"3,230,275","109,221,306"
Paul McCartney-Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,76,2,10,,"5,040,731","109,215,904"
"Olivia Rodrigo-1 step forward, 3 steps back",73,,12,,"4,486,549","109,017,878"
Naughty Boy-La La La,117,,53,,"2,317,052","108,951,801"
LISA-LALISA,70,,15,,"3,253,193","108,900,615"
Jeremy Zucker-comethru,145,,104,,"883,176","108,588,995"
5 Seconds of Summer-Teeth,103,,46,,"1,469,182","108,588,312"
Oscar Maydon-Volver Al Futuro,65,,34,,"2,671,627","108,544,664"
Bad Bunny-Un Verano Sin Ti,83,,16,,"5,731,167","108,478,318"
Sech-Sal y Perrea,101,,51,,"1,608,354","108,123,209"
SZA-Love Galore,156,,69,,"950,584","108,025,626"
Drake-Gyalchester,116,2,9,,"3,315,968","107,872,095"
KAROL G-Créeme,141,,106,,"945,405","107,814,358"
Eagles-Please Come Home for Christmas - Eagles 2013 Remaster,58,,31,,"5,526,135","107,791,325"
Maroon 5-Wait,141,,51,,"1,306,473","107,706,462"
BTS-Yet To Come,57,7,3,(x1),"7,178,605","107,685,238"
"Alan Walker-Alone, Pt. II",128,,77,,"1,137,237","107,668,921"
5 Seconds of Summer-Easier,93,,21,,"2,205,364","107,659,347"
The Kid LAROI-GO,116,,54,,"1,483,718","107,295,209"
Eminem-Venom - Music From The Motion Picture,110,,32,,"2,209,058","107,150,723"
Selena Gomez-Rare,61,1,10,,"4,003,549","107,085,286"
Alex Rose-Toda - Remix,143,,97,,"910,123","106,922,097"
David Guetta-Lovers on the Sun,228,,12,,"914,672","106,908,709"
Dr. Dre-Still D.R.E.,97,,12,,"2,433,712","106,867,195"
Zay Hilfigerrr-Juju On That Beat (TZ Anthem),121,,23,,"1,528,643","106,811,570"
KAROL G-CONTIGO,61,,22,,"2,925,642","106,691,375"
ZAYN-Still Got Time,121,,40,,"1,541,323","106,584,089"
Fuerza Regida-COQUETA,76,,82,,"1,721,466","106,510,345"
Bastille-Pompeii,374,,36,,"553,900","106,469,483"
Peso Pluma-BYE,69,,32,,"2,400,036","106,415,416"
J Balvin-Bobo,212,,67,,"685,054","106,350,031"
AC/DC-You Shook Me All Night Long,81,,102,,"1,625,887","106,199,374"
Young Miko-offline,65,,57,,"2,192,369","106,183,574"
Chris Brown-Questions,118,,53,,"1,184,330","106,153,302"
Pitbull-Timber,310,,40,,"1,881,134","106,063,085"
Mabel-Mad Love,109,,52,,"1,394,810","106,004,659"
Linkin Park-Faint,72,,52,,"2,144,037","105,604,327"
R3HAB-All Around The World (La La La),108,,56,,"1,427,495","105,576,121"
Natalie La Rose-Somebody,190,,26,,"941,751","105,459,222"
David Guetta-Don't Leave Me Alone,108,,40,,"1,585,349","105,427,447"
Manuel Turizo-Esclavo de Tus Besos,112,,67,,"1,202,104","105,148,236"
salem ilese-Mad at Disney,95,,40,,"1,540,905","105,030,197"
Kina-Can We Kiss Forever?,147,,131,,"810,719","104,836,137"
Trinidad Cardona-Dinero,81,,31,,"1,967,203","104,791,759"
Veigh-Novo Balanço,85,,103,,"1,469,378","104,730,228"
Megan Thee Stallion-Thot Shit,86,,43,,"1,655,764","104,661,215"
Kylie Minogue-Santa Baby,84,,26,,"4,100,668","104,608,244"
Lost Frequencies-Black Friday (pretty like the sun),68,,65,,"1,916,546","104,602,371"
24kGoldn-CITY OF ANGELS,98,,52,,"1,357,756","104,503,388"
DJ Snake-You Know You Like It,235,,20,,"1,055,618","104,468,128"
Wisin & Yandel-Aullando,126,,98,,"1,004,023","104,407,936"
Kendrick Lamar-ELEMENT.,112,2,5,,"4,084,332","104,346,080"
Burna Boy-Last Last,99,,82,,"1,311,848","104,155,138"
Disclosure-Latch,333,,28,,"582,495","103,949,646"
David Guetta-Crazy What Love Can Do,116,,94,,"1,122,224","103,913,405"
Jess Glynne-Hold My Hand,227,,28,,"931,211","103,850,318"
Billie Eilish-my strange addiction,94,,14,,"3,251,040","103,791,287"
Ozuna-Tú Foto,141,,65,,"1,042,437","103,769,443"
Sebastian Yatra-Runaway,107,,54,,"1,342,506","103,747,537"
Ashe-Moral of the Story,87,,33,,"1,979,060","103,744,051"
Blxst-Chosen,109,,79,,"1,168,824","103,698,222"
Playboi Carti-RATHER LIE,42,7,3,(x1),"7,392,291","103,613,638"
Playboi Carti-EVIL J0RDAN,36,8,1,(x2),"9,515,551","103,555,445"
Eliza Rose-B.O.T.A. (Baddest Of Them All) - Edit,80,,48,,"1,778,548","103,548,916"
Travis Scott-Antidote,258,,50,,"706,068","103,542,214"
Drake-Sneakin’,151,,27,,"1,456,105","103,435,061"
Anuel AA-Keii,93,,35,,"1,929,096","103,272,487"
Bill Withers-Ain't No Sunshine,76,,66,,"1,813,542","103,261,101"
Omar Apollo-Evergreen,84,,45,,"1,652,059","103,063,257"
Maisak-SE ME OLVIDA,60,,27,,"2,862,604","102,826,016"
Diplo-Be Right There,225,,53,,"678,155","102,807,808"
Ed Sheeran-Sing,287,,25,,"582,121","102,718,655"
Morgan Wallen-What I Want,49,1,5,,"3,978,500","102,646,379"
Camila Cabello-Havana - Remix,118,,50,,"1,249,279","102,548,093"
Rachel Platten-Fight Song,241,,34,,"796,484","102,525,320"
Bad Bunny-Enséñame a Bailar,79,,19,,"4,954,797","102,336,881"
Beéle-no tiene sentido,44,,15,,"2,879,936","102,290,213"
Dimitri Vegas & Like Mike-Instagram,121,,75,,"1,103,311","102,232,830"
Charli xcx-Speed Drive (From Barbie The Album),67,,37,,"2,222,553","102,178,420"
Bad Bunny-Solo de Mi,98,,32,,"1,625,164","102,148,504"
Armani White-BILLIE EILISH.,85,,65,,"1,525,285","102,115,598"
Ed Sheeran-Tenerife Sea,419,,86,,"494,205","102,086,953"
Blanco Brown-The Git Up,117,,61,,"1,197,188","102,067,400"
Juice WRLD-Lean Wit Me,126,,33,,"1,763,266","101,838,305"
Bad Bunny-FINA,44,4,3,(x1),"9,781,294","101,721,780"
Ella Henderson-Ghost,233,,24,,"702,088","101,409,114"
Peso Pluma-Siempre Pendientes,95,,80,,"1,324,116","101,364,726"
ZAYN-LIKE I WOULD,119,,22,,"1,567,263","101,333,039"
Tiësto-Ritual,112,,64,,"1,308,536","101,321,426"
Shawn Mendes-It'll Be Okay,89,,47,,"1,759,559","101,276,673"
Joey Montana-Picky,243,,63,,"582,073","101,240,851"
Kodak Black-Angel Pt. 1,46,3,9,,"4,080,652","101,164,656"
Drake-Energy,319,,16,,"875,470","101,040,206"
Katy Perry-Last Friday Night (T.G.I.F.),81,,111,,"1,413,736","100,845,636"
Rauw Alejandro-Tattoo - Remix with Camilo,102,,53,,"1,455,683","100,741,125"
Aaron Smith-Dancin,139,,98,,"953,572","100,432,584"
Playboi Carti-Sky,115,,88,,"1,075,549","100,267,110"
"Feid-PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",106,,74,,"1,257,060","100,149,337"
Kodak Black-Codeine Dreaming,123,,47,,"1,377,047","100,037,757"
George Henrique & Rodrigo-Vai Lá Em Casa Hoje,100,,23,,"1,752,066","100,015,266"
Labrinth-Mount Everest,88,,35,,"1,607,677","99,971,504"
Shakira-Acróstico,49,3,9,,"3,758,478","99,880,513"
Bibi Babydoll-Automotivo Bibi Fogosa,75,,82,,"1,538,375","99,800,705"
Megan Thee Stallion-Body,89,,54,,"1,592,149","99,786,684"
The Kid LAROI-Thousand Miles,80,,13,,"2,519,325","99,686,115"
Post Malone-Spoil My Night,77,6,4,,"5,359,543","99,563,977"
Bad Bunny-NI BIEN NI MAL,103,,54,,"1,331,051","99,294,357"
Lil Mosey-Stuck In A Dream,106,,30,,"1,758,109","99,265,077"
Wolfine-Bella - Remix,128,,71,,"991,715","99,249,738"
Jason Derulo-Goodbye,98,,44,,"1,533,315","99,223,082"
One Direction-Story of My Life,78,,11,,"4,268,457","99,184,985"
Gabry Ponte-Thunder,116,,77,,"1,368,664","99,095,410"
SZA-Open Arms,74,,57,,"2,267,300","98,883,272"
Dawin-Dessert,233,,55,,"634,820","98,786,857"
Emmy Meli-I AM WOMAN,88,,45,,"1,548,512","98,725,986"
Astrid S-Hurts So Good,193,,71,,"702,118","98,706,955"
Kehlani-Nights Like This,90,,35,,"1,729,580","98,657,395"
Clinton Kane-I GUESS I'M IN LOVE,92,,68,,"1,330,292","98,529,948"
BTS-Take Two,46,5,1,(x1),"7,279,978","98,421,287"
Lady Gaga-Sour Candy,67,7,2,(x1),"6,225,375","98,177,594"
Lil Uzi Vert-Myron,112,,14,,"3,094,018","98,159,769"
Jimin-Set Me Free Pt.2,55,2,6,,"4,820,096","98,112,739"
Tito Double P-AY MAMÁ,69,,93,,"1,661,513","98,033,531"
Fujii Kaze-死ぬのがいいわ,75,,57,,"1,563,106","97,979,378"
Young Thug-Hot (Remix),100,,29,,"1,756,219","97,936,033"
Oruam-Oh Garota Eu Quero Você Só Pra Mim,62,,25,,"2,668,400","97,883,230"
Taylor Swift-Mastermind,41,,12,,"9,137,209","97,779,361"
Billie Eilish-xanny,87,1,7,,"3,829,019","97,689,835"
MC MENOR HR-Evoque Prata,73,,50,,"1,929,175","97,630,717"
Elle King-Ex's & Oh's,235,,51,,"603,516","97,604,970"
Ariana Grande-twilight zone,46,6,3,(x1),"5,380,531","97,493,723"
Marília Mendonça-Esqueça-Me Se For Capaz,94,,32,,"1,664,646","97,291,155"
Yuridia-Qué Agonía,88,,86,,"1,346,353","97,262,690"
Ozuna-Baila Baila Baila - Remix,112,,59,,"1,233,069","97,166,469"
Young Thug-Hot,91,,43,,"1,562,255","97,026,659"
Foster The People-Pumped Up Kicks,150,,96,,"1,448,440","96,727,264"
The Chainsmokers-Somebody,105,,46,,"1,792,336","96,713,967"
Kushagra-Finding Her,73,,89,,"1,508,647","96,682,490"
Future-Fine China,104,,15,,"2,612,845","96,526,818"
Kris Kross Amsterdam-Whenever,103,,42,,"1,515,716","96,333,321"
Kenshi Yonezu-KICK BACK,81,,47,,"1,635,207","96,331,584"
Ed Sheeran-What Do I Know?,98,,12,,"3,290,719","96,113,341"
MKTO-Classic,252,,21,,"953,384","96,075,175"
Drake-Mob Ties,82,1,10,,"6,018,735","96,031,675"
