Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Sabrina Carpenter-Please Please Please,392,129,1,(x19),"12,835,312","1,483,529,807"
"Bizarrap-Quevedo: Bzrp Music Sessions, Vol. 52",480,154,1,(x55),"8,623,941","1,475,187,557"
Cigarettes After Sex-Apocalypse,1058,,52,,"1,982,056","1,466,401,907"
One Direction-Night Changes,1174,7,6,,"5,150,464","1,462,301,848"
Ariana Grande-we can't be friends (wait for your love),483,50,1,(x13),"9,432,687","1,459,048,197"
XXXTENTACION-Jocelyn Flores,1481,9,2,(x3),"7,900,110","1,447,811,195"
Justin Bieber-Ghost,939,8,10,,"2,641,055","1,444,602,001"
Lil Nas X-MONTERO (Call Me By Your Name),513,157,1,(x40),"8,588,023","1,437,151,704"
Travis Scott-SICKO MODE,1037,141,2,(x5),"6,546,842","1,425,985,849"
Mitski-My Love Mine All Mine,556,115,2,(x4),"4,862,101","1,423,172,235"
Drake-God's Plan,717,146,1,(x74),"8,553,009","1,419,636,888"
Bruno Mars-That's What I Like,1011,57,5,,"3,482,628","1,402,050,794"
BTS-Dynamite,780,119,1,(x1),"7,778,950","1,392,283,880"
SAINt JHN-Roses - Imanbek Remix,680,159,2,(x2),"5,234,607","1,388,148,423"
J. Cole-No Role Modelz,1600,,59,,"1,867,073","1,385,586,138"
Kendrick Lamar-All The Stars,756,74,2,(x14),"7,399,673","1,382,236,408"
24kGoldn-Mood,626,189,1,(x35),"6,367,748","1,377,292,794"
Maroon 5-Memories,889,99,2,(x5),"4,917,468","1,370,441,199"
Ed Sheeran-Bad Habits,550,146,3,(x26),"6,008,275","1,350,227,445"
Macklemore & Ryan Lewis-Can't Hold Us,1064,,57,,"1,928,158","1,346,401,830"
French Montana-Unforgettable,892,116,3,(x8),"3,739,539","1,339,003,567"
Sam Smith-Unholy,397,156,1,(x49),"8,853,020","1,326,989,045"
Shaboozey-A Bar Song (Tipsy),445,77,5,,"7,604,741","1,325,376,274"
Bruno Mars-Just the Way You Are,955,,27,,"2,737,304","1,324,588,622"
Bad Bunny-DÁKITI,700,118,1,(x36),"10,086,143","1,323,144,052"
Bruno Mars-When I Was Your Man,1225,,28,,"2,663,783","1,319,395,235"
Doja Cat-Kiss Me More,551,139,2,(x1),"5,731,381","1,312,730,513"
Marshmello-Happier,823,144,2,(x9),"4,279,508","1,302,211,159"
KAROL G-Si Antes Te Hubiera Conocido,378,112,4,,"6,441,001","1,293,986,532"
Rema-Calm Down,572,22,8,,"3,895,947","1,293,012,963"
Billie Eilish-WILDFLOWER,413,35,8,,"6,821,322","1,290,917,660"
Camila Cabello-Havana,793,173,1,(x9),"4,949,898","1,288,873,382"
Feid-LUNA,546,28,7,,"4,185,532","1,285,138,184"
Conan Gray-Heather,1058,,11,,"3,771,797","1,261,363,064"
Ed Sheeran-Thinking out Loud,1677,156,1,(x14),"1,950,373","1,254,838,207"
Bad Bunny-Tití Me Preguntó,436,168,4,,"7,640,843","1,253,903,760"
Roddy Ricch-The Box,567,128,1,(x6),"7,427,860","1,246,311,986"
Metro Boomin-Creepin',478,115,1,(x3),"5,702,794","1,241,697,519"
Ed Sheeran-Shivers,625,154,4,,"5,450,839","1,236,107,580"
Calvin Harris-One Kiss,789,99,1,(x3),"4,533,018","1,231,072,509"
Ed Sheeran-I Don't Care,627,116,1,(x42),"10,977,389","1,226,341,816"
Keane-Somewhere Only We Know,934,,63,,"1,815,360","1,224,555,809"
The Killers-Mr. Brightside,1423,,59,,"2,013,473","1,221,342,028"
Post Malone-Better Now,796,76,1,(x37),"6,090,230","1,218,871,302"
DaBaby-ROCKSTAR,505,144,1,(x57),"6,273,718","1,218,421,504"
Justin Bieber-Peaches,533,100,1,(x18),"8,020,169","1,208,278,824"
Imagine Dragons-Thunder,1011,20,7,,"3,218,477","1,201,439,377"
Lana Del Rey-Summertime Sadness,921,,74,,"1,646,634","1,199,804,700"
Travis Scott-FE!N,581,5,3,(x1),"8,998,039","1,199,063,667"
David Kushner-Daylight,497,77,4,,"5,066,631","1,185,653,142"
Lewis Capaldi-Before You Go,862,,17,,"2,375,637","1,180,738,967"
Bad Bunny-Ojitos Lindos,488,111,2,(x5),"6,793,502","1,180,213,497"
The Weeknd-The Hills,1268,80,3,(x8),"2,210,786","1,172,997,045"
Eminem-Mockingbird,726,,20,,"2,672,455","1,172,422,913"
Halsey-Without Me,840,124,3,(x10),"4,103,411","1,168,628,874"
d4vd-Romantic Homicide,739,,17,,"2,627,379","1,167,715,332"
Artemas-i like the way you kiss me,342,61,1,(x14),"9,844,169","1,164,543,446"
Noah Kahan-Stick Season,494,55,6,,"4,589,005","1,161,515,847"
Kendrick Lamar-HUMBLE.,791,83,1,(x7),"6,561,530","1,161,514,687"
Gracie Abrams-That’s So True,259,179,3,(x7),"7,335,731","1,149,658,249"
Post Malone-I Had Some Help (Feat. Morgan Wallen),419,48,1,(x1),"13,949,573","1,146,068,104"
Arctic Monkeys-Do I Wanna Know?,1373,,69,,"1,442,073","1,145,997,681"
Dua Lipa-New Rules,711,161,2,(x24),"4,497,944","1,140,597,500"
John Legend-All of Me,1899,,16,,"1,518,421","1,136,104,821"
The Goo Goo Dolls-Iris,658,,16,,"2,782,766","1,130,455,493"
Brenda Lee-Rockin' Around The Christmas Tree,368,117,2,(x1),"21,635,497","1,129,072,077"
Travis Scott-HIGHEST IN THE ROOM,764,48,1,(x7),"8,000,249","1,122,906,043"
Tommy Richman-MILLION DOLLAR BABY,325,77,1,(x11),"12,657,599","1,116,956,004"
Doja Cat-Paint The Town Red,358,112,1,(x25),"9,146,029","1,113,982,099"
Doja Cat-Woman,534,49,5,,"4,541,274","1,107,964,408"
Sabrina Carpenter-Taste,315,90,2,(x3),"9,050,976","1,106,358,911"
Måneskin-Beggin',466,104,1,(x25),"8,005,228","1,097,657,144"
Gigi Perez-Sailor Song,320,76,5,,"4,950,780","1,094,050,873"
Sabrina Carpenter-Nonsense,723,,12,,"3,480,172","1,092,961,503"
Farruko-Pepas,486,104,3,(x4),"4,991,996","1,092,223,873"
Bad Bunny-Yonaguni,574,58,3,(x17),"7,191,161","1,091,187,590"
"Billie Eilish-What Was I Made For? [From The Motion Picture ""Barbie""]",502,53,2,(x6),"5,680,885","1,089,381,960"
"Ariana Grande-thank u, next",606,116,1,(x53),"9,606,415","1,086,433,407"
Maroon 5-Girls Like You,710,101,2,(x13),"4,382,819","1,081,119,035"
Eslabon Armado-Ella Baila Sola,320,117,1,(x51),"9,047,794","1,074,105,220"
Luis Fonsi-Despacito - Remix,447,140,1,(x101),"8,505,463","1,072,194,101"
KAROL G-QLONA,442,54,4,,"4,538,107","1,069,000,056"
Olivia Rodrigo-deja vu,624,61,3,(x7),"6,965,911","1,067,759,293"
Olivia Rodrigo-traitor,609,25,7,,"5,255,353","1,062,465,152"
Lil Uzi Vert-XO TOUR Llif3,839,7,9,,"2,830,043","1,058,173,866"
Frank Ocean-Pink + White,736,,52,,"2,097,465","1,054,396,305"
Imagine Dragons-Bones,686,,27,,"2,481,967","1,051,949,456"
Imagine Dragons-Demons,1333,,37,,"1,749,568","1,049,820,638"
Billie Eilish-when the party's over,844,7,7,,"3,605,221","1,045,538,949"
J Balvin-LA CANCIÓN,846,,16,,"2,427,362","1,044,973,137"
Tears For Fears-Everybody Wants To Rule The World,836,,80,,"1,700,790","1,040,744,948"
XXXTENTACION-Moonlight,940,10,2,(x3),"6,928,295","1,031,086,017"
Ariana Grande-Santa Tell Me,441,88,3,(x4),"15,074,202","1,017,251,702"
Linkin Park-In the End,755,1,8,,"3,356,242","1,014,689,368"
Bad Bunny-Efecto,414,102,6,,"5,752,670","1,013,471,014"
Olivia Rodrigo-vampire,373,93,1,(x7),"9,794,245","1,013,372,243"
Bobby Helms-Jingle Bell Rock,372,96,4,,"18,917,096","1,012,810,315"
Harry Styles-Adore You,763,6,3,(x1),"4,506,154","1,009,588,110"
Kendrick Lamar-luther,224,136,2,(x20),"10,600,316","1,008,444,810"
Taylor Swift-Blank Space,776,,14,,"3,018,571","1,003,534,042"
Lauv-I Like Me Better,1112,,24,,"1,906,874","1,000,581,852"
Steve Lacy-Dark Red,855,,58,,"1,603,560","998,370,487"
Powfu-death bed,552,120,4,,"4,310,576","996,603,124"
Arizona Zervas-ROXANNE,495,113,2,(x30),"5,525,015","995,796,741"
Post Malone-Congratulations,914,,20,,"2,315,803","994,460,066"
d4vd-Here With Me,567,,13,,"3,232,096","991,694,642"
Justin Bieber-Love Yourself,788,154,1,(x25),"4,052,773","990,375,774"
